FOS10_ROS10 Corrected,FOS10_ROS11 Corrected,FOS10_ROS12 Corrected,FOS10_ROS13 Corrected,FOS10_ROS1 Corrected,FOS10_ROS2 Corrected,FOS10_ROS3 Corrected,FOS10_ROS4 Corrected,FOS10_ROS5 Corrected,FOS10_ROS6 Corrected,FOS10_ROS7 Corrected,FOS10_ROS8 Corrected,FOS10_ROS9 Corrected,FOS1_ROS10 Corrected,FOS1_ROS11 Corrected,FOS1_ROS12 Corrected,FOS1_ROS13 Corrected,FOS1_ROS1 Corrected,FOS1_ROS2 Corrected,FOS1_ROS3 Corrected,FOS1_ROS4 Corrected,FOS1_ROS5 Corrected,FOS1_ROS6 Corrected,FOS1_ROS7 Corrected,FOS1_ROS8 Corrected,FOS1_ROS9 Corrected,FOS2_ROS10 Corrected,FOS2_ROS11 Corrected,FOS2_ROS12 Corrected,FOS2_ROS13 Corrected,FOS2_ROS1 Corrected,FOS2_ROS2 Corrected,FOS2_ROS3 Corrected,FOS2_ROS4 Corrected,FOS2_ROS5 Corrected,FOS2_ROS6 Corrected,FOS2_ROS7 Corrected,FOS2_ROS8 Corrected,FOS2_ROS9 Corrected,FOS3_ROS10 Corrected,FOS3_ROS11 Corrected,FOS3_ROS12 Corrected,FOS3_ROS13 Corrected,FOS3_ROS1 Corrected,FOS3_ROS2 Corrected,FOS3_ROS3 Corrected,FOS3_ROS4 Corrected,FOS3_ROS5 Corrected,FOS3_ROS6 Corrected,FOS3_ROS7 Corrected,FOS3_ROS8 Corrected,FOS3_ROS9 Corrected,FOS4_ROS10 Corrected,FOS4_ROS11 Corrected,FOS4_ROS12 Corrected,FOS4_ROS13 Corrected,FOS4_ROS1 Corrected,FOS4_ROS2 Corrected,FOS4_ROS3 Corrected,FOS4_ROS4 Corrected,FOS4_ROS5 Corrected,FOS4_ROS6 Corrected,FOS4_ROS7 Corrected,FOS4_ROS8 Corrected,FOS4_ROS9 Corrected,FOS5_ROS10 Corrected,FOS5_ROS11 Corrected,FOS5_ROS12 Corrected,FOS5_ROS13 Corrected,FOS5_ROS1 Corrected,FOS5_ROS2 Corrected,FOS5_ROS3 Corrected,FOS5_ROS4 Corrected,FOS5_ROS5 Corrected,FOS5_ROS6 Corrected,FOS5_ROS7 Corrected,FOS5_ROS8 Corrected,FOS5_ROS9 Corrected,FOS6_ROS10 Corrected,FOS6_ROS11 Corrected,FOS6_ROS12 Corrected,FOS6_ROS13 Corrected,FOS6_ROS1 Corrected,FOS6_ROS2 Corrected,FOS6_ROS3 Corrected,FOS6_ROS4 Corrected,FOS6_ROS5 Corrected,FOS6_ROS6 Corrected,FOS6_ROS7 Corrected,FOS6_ROS8 Corrected,FOS6_ROS9 Corrected,FOS7_ROS10 Corrected,FOS7_ROS11 Corrected,FOS7_ROS12 Corrected,FOS7_ROS13 Corrected,FOS7_ROS1 Corrected,FOS7_ROS2 Corrected,FOS7_ROS3 Corrected,FOS7_ROS4 Corrected,FOS7_ROS5 Corrected,FOS7_ROS6 Corrected,FOS7_ROS7 Corrected,FOS7_ROS8 Corrected,FOS7_ROS9 Corrected,FOS8_ROS10 Corrected,FOS8_ROS11 Corrected,FOS8_ROS12 Corrected,FOS8_ROS13 Corrected,FOS8_ROS1 Corrected,FOS8_ROS2 Corrected,FOS8_ROS3 Corrected,FOS8_ROS4 Corrected,FOS8_ROS5 Corrected,FOS8_ROS6 Corrected,FOS8_ROS7 Corrected,FOS8_ROS8 Corrected,FOS8_ROS9 Corrected,FOS9_ROS10 Corrected,FOS9_ROS11 Corrected,FOS9_ROS12 Corrected,FOS9_ROS13 Corrected,FOS9_ROS1 Corrected,FOS9_ROS2 Corrected,FOS9_ROS3 Corrected,FOS9_ROS4 Corrected,FOS9_ROS5 Corrected,FOS9_ROS6 Corrected,FOS9_ROS7 Corrected,FOS9_ROS8 Corrected,FOS9_ROS9 Corrected
0,390,0,0,365,40,0,1,0,126,254,52,0,0,209,0,0,0,0,2,0,0,59,0,0,0,97,0,0,1,0,0,236,0,0,0,0,0,2,0,0,0,31,311,41,2,1,0,0,0,23,0,0,67,0,0,0,0,0,0,0,11,4,0,0,64,0,0,0,0,0,72,0,0,0,0,0,627,0,0,0,170,0,88,2,0,0,0,0,44,0,0,0,0,0,0,0,0,1,0,5,0,0,0,487,304,302,284,0,0,570,564,1,246,276,418,353,121,0,0,1115,353,393,456,361,2,102,2734,2616,370
0,39,0,0,127,18,0,0,0,98,157,17,0,0,61,0,0,0,0,0,0,0,93,0,0,0,71,0,1,0,0,1,207,0,0,0,0,0,0,0,0,0,28,214,26,0,0,0,0,0,26,0,0,50,1,7,0,0,0,0,0,7,1,0,0,40,2,0,0,0,0,33,0,0,0,1,0,390,0,0,0,74,0,56,0,0,0,0,0,28,0,0,0,0,0,0,0,2,0,0,5,1,0,0,507,343,300,333,0,0,269,349,1,261,301,353,200,54,0,0,658,172,232,368,213,1,108,1798,1441,189
1,490,0,0,56,3,0,0,1,101,65,0,0,0,263,16,0,0,0,0,0,0,147,43,0,0,208,0,0,0,0,0,476,0,0,0,0,0,1,0,0,1,32,399,23,0,0,0,0,0,42,0,1,75,3,0,0,0,0,0,1,50,0,0,0,33,0,0,0,0,0,96,4,0,0,0,0,652,1,0,0,77,0,85,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,103,26,53,0,0,267,93,1,85,43,0,185,37,0,0,553,289,57,80,3,0,1,3383,1600,121
1,1265,8,0,257,23,0,0,0,179,595,57,0,0,355,0,0,0,0,0,0,0,149,47,0,0,178,0,0,0,0,0,357,0,1,0,0,0,0,0,0,0,35,314,18,0,0,0,0,1,25,0,0,62,16,0,0,1,3,0,0,41,4,0,1,80,0,0,0,0,1,52,0,0,0,1,0,750,0,0,0,223,0,108,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,2,0,0,0,486,522,481,450,0,0,670,402,2,238,230,359,509,173,4,0,1215,556,1065,1026,612,0,156,2928,3371,446
0,1778,39,0,479,44,0,0,0,190,401,25,0,0,193,37,0,0,0,0,0,1,149,0,0,0,178,0,0,0,0,0,286,0,0,2,0,0,0,0,0,2,42,407,22,5,2,0,0,0,56,0,0,21,1,2,0,0,2,0,1,40,3,12,0,112,1,1,0,0,0,16,0,2,0,0,0,882,0,0,2,185,0,144,0,0,0,0,0,69,0,0,2,0,0,0,0,0,0,0,4,0,0,0,416,325,634,550,0,0,416,601,2,346,514,736,453,181,13,0,1158,558,954,737,502,2,187,3281,3721,498
0,120,0,0,228,42,0,1,1,108,227,48,0,0,260,0,0,0,0,0,0,0,133,0,0,0,120,2,0,0,0,0,243,0,0,0,0,0,1,1,0,0,40,329,43,0,0,0,0,0,7,0,0,70,3,0,2,0,0,0,0,2,0,0,0,51,0,0,0,0,0,28,0,0,0,0,0,561,0,0,0,80,0,112,0,0,1,0,0,48,0,1,1,0,0,0,0,0,0,0,1,0,0,0,465,464,489,294,0,0,482,441,1,171,195,338,313,206,0,0,862,279,648,493,371,0,247,2542,2171,617
0,1389,45,0,235,38,0,0,0,161,329,29,0,0,173,0,0,10,0,0,0,0,102,0,0,0,235,0,0,0,0,0,309,0,0,0,1,0,0,0,0,0,25,337,13,3,1,0,0,0,41,0,11,81,10,0,0,0,0,1,0,7,3,1,0,94,3,0,0,0,0,55,7,0,0,0,0,808,0,0,0,114,0,109,17,0,0,0,0,59,0,0,0,0,0,0,0,0,1,0,1,0,0,0,543,363,350,317,0,0,562,376,1,215,264,648,469,203,0,0,1425,562,799,659,609,0,187,3323,2932,501
0,1447,1,0,384,13,0,0,0,169,348,53,0,0,306,0,0,0,0,0,0,0,178,0,0,0,241,0,0,0,0,0,448,1,0,0,0,0,17,0,0,0,5,283,31,0,0,0,0,0,99,0,0,85,8,5,0,5,0,0,0,25,4,1,1,106,0,1,0,0,0,58,0,0,0,0,0,770,0,4,0,130,0,83,13,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,5,0,0,0,526,450,460,493,0,0,550,480,1,270,649,331,394,214,2,0,1507,884,699,508,594,0,194,3160,2914,580
0,596,0,0,291,38,0,0,0,93,326,32,0,0,200,0,0,0,0,0,0,0,108,0,0,0,145,0,0,0,0,0,184,0,0,0,0,0,0,0,0,0,10,264,22,0,1,0,0,0,16,0,0,36,11,28,0,0,0,0,0,33,0,0,0,54,0,0,0,0,3,37,0,0,0,0,1,643,0,0,0,130,0,126,0,0,0,0,0,51,0,1,0,0,0,0,1,0,0,0,4,0,0,0,305,315,387,473,0,0,434,538,1,341,532,352,381,138,0,0,1138,355,412,365,292,1,236,2858,2420,398
0,1431,4,0,448,67,0,0,1,184,605,45,3,0,237,39,0,0,0,0,0,0,258,20,0,0,183,0,0,0,0,0,308,0,0,0,0,0,1,0,0,1,3,354,40,0,0,0,0,0,30,0,0,89,6,0,0,0,0,0,0,33,0,10,2,59,2,0,0,1,0,76,0,0,1,0,0,852,0,0,0,276,0,126,0,1,0,0,0,96,0,0,0,0,0,0,0,0,0,0,7,0,0,0,597,539,439,537,0,0,496,729,2,257,529,566,551,207,2,0,1407,931,693,651,797,1,131,3182,3431,610
0,1083,58,0,431,39,0,0,0,146,289,28,0,0,154,24,0,0,0,0,0,3,254,54,0,0,120,0,0,0,0,0,249,0,0,0,0,0,24,0,0,0,15,437,43,0,0,0,1,0,77,0,0,76,0,0,0,0,0,0,0,54,0,0,0,99,0,0,0,0,0,54,0,0,3,0,0,741,0,0,0,172,0,117,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,5,0,0,0,874,522,867,477,0,0,802,515,2,362,820,674,519,138,1,0,1359,601,490,583,581,1,116,3024,2792,519
0,1003,4,0,479,37,0,1,0,153,505,32,0,0,127,0,0,23,0,0,0,0,65,109,0,0,154,0,0,0,0,0,232,0,0,0,0,0,25,0,0,0,35,355,20,0,1,0,0,0,61,0,0,69,19,6,8,0,0,0,0,19,27,10,0,67,0,0,0,0,0,49,0,0,0,0,0,809,0,0,0,151,0,186,0,0,0,0,0,37,1,1,0,0,0,0,0,0,0,0,6,0,0,0,636,251,321,426,0,0,567,641,0,345,413,312,540,147,0,0,1099,756,1187,906,470,2,225,3142,2883,421
0,397,290,0,2407,1267,1,0,0,111,2824,1311,0,0,293,282,0,111,0,0,0,0,74,134,0,0,189,0,0,0,0,0,387,200,1,1,0,0,417,0,0,0,7,183,19,1,0,0,0,0,19,0,0,20,0,0,0,0,0,0,0,15,0,0,0,27,1,0,0,0,0,21,0,0,0,1,0,414,0,0,0,101,0,24,1,0,0,0,0,25,0,0,3,0,0,0,0,0,0,0,2,0,0,0,390,357,675,364,0,0,442,440,0,90,467,531,298,2779,50,0,858,433,493,546,572,2,301,2087,1279,3551
0,1301,0,0,281,25,0,0,0,151,327,65,0,0,211,75,0,0,0,0,0,0,72,0,0,0,169,0,0,1,0,0,402,0,0,0,0,0,0,1,0,0,19,449,88,11,0,0,2,0,66,0,0,97,72,37,0,0,0,0,0,21,0,18,35,169,12,3,3,0,9,53,0,0,0,0,0,775,0,10,0,212,0,98,3,0,0,0,0,133,0,0,0,0,0,0,0,0,1,0,8,0,0,0,685,469,568,497,0,0,565,491,4,320,480,516,493,167,0,0,1144,627,1249,558,474,2,257,3069,3131,446
1,1302,11,0,418,23,0,0,1,180,494,47,0,0,143,0,0,0,0,0,0,0,105,0,0,0,197,0,0,0,0,0,374,0,0,0,0,0,47,0,0,0,37,402,42,0,0,0,1,0,66,0,0,61,3,13,0,3,0,0,0,38,0,0,1,54,0,0,0,0,0,67,0,1,21,1,0,896,0,0,0,227,0,147,3,0,1,0,0,36,0,0,0,0,0,0,0,0,0,0,10,0,0,0,729,423,639,435,0,0,787,602,3,492,727,519,432,199,0,0,1598,592,1030,644,737,1,265,3766,3606,635
0,1601,21,0,388,51,0,0,0,167,510,70,0,0,133,14,0,0,0,0,0,0,276,0,0,0,157,0,0,0,0,0,403,20,0,3,0,0,1,0,0,0,13,425,71,0,0,0,0,0,56,0,1,85,0,0,0,0,0,0,0,57,8,0,0,111,0,0,0,0,0,78,4,0,0,1,0,1074,0,0,0,270,0,141,5,0,0,2,0,64,0,0,0,0,0,0,0,0,0,0,5,0,1,0,787,600,464,523,0,0,605,722,1,373,747,839,533,220,0,3,1502,887,664,904,1042,2,693,3594,3839,756
0,369,0,0,231,56,0,0,2,272,168,36,0,0,761,0,0,0,0,0,0,3,398,0,0,0,527,0,0,0,0,0,965,0,4,0,0,0,4,200,0,46,522,1211,820,252,76,0,29,14,1363,0,10,967,273,84,257,185,36,10,1,470,464,116,110,1280,502,212,59,17,2,716,98,2,33,10,22,2903,0,42,26,1863,17,1511,376,83,1,60,19,700,0,0,9,0,0,652,0,0,0,0,23,310,6,0,3170,2241,2083,1226,0,0,3294,3918,9,1823,2876,2316,2450,117,0,0,2157,3090,3716,3333,1716,4,602,2871,4879,442
1,1591,14,0,598,53,0,0,0,193,710,89,0,0,338,0,0,0,0,0,0,0,219,0,0,0,178,0,0,0,0,0,401,2,0,0,0,0,1,14,0,1,29,456,20,0,0,0,0,3,35,0,0,109,15,7,0,0,0,0,0,6,3,0,0,106,0,0,1,0,0,63,0,0,0,0,0,1044,0,0,0,230,0,157,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,5,0,0,0,713,614,502,497,0,0,594,673,3,215,755,391,672,118,0,0,1751,603,1218,821,686,3,269,3865,3326,429
1,249,0,0,18,0,0,0,0,100,3,0,0,1,299,0,0,0,0,0,0,1,177,0,0,0,131,0,0,0,0,0,246,0,0,0,0,0,0,56,0,1,280,560,347,138,23,1,12,17,585,0,5,373,83,16,162,59,23,12,0,226,146,42,47,506,87,5,3,9,2,262,21,0,19,0,0,1392,0,2,0,676,0,556,90,18,0,0,1,283,0,0,3,0,0,51,0,0,0,0,11,34,0,0,625,477,348,155,0,0,1177,994,2,381,317,345,860,0,0,0,735,1267,1273,1049,271,2,85,1641,1705,0
0,2186,0,0,44,6,0,0,0,92,79,4,0,0,439,31,0,0,0,0,0,0,344,0,0,0,251,0,0,0,0,0,548,0,0,0,0,0,1,1,0,0,31,607,68,18,0,0,0,0,44,0,0,92,7,2,0,0,0,0,0,13,0,0,0,97,6,0,0,0,0,77,0,1,0,0,0,1348,0,0,1,151,0,115,0,0,0,0,0,77,0,0,1,0,0,0,1,0,0,0,4,0,0,0,91,92,90,32,0,0,540,229,3,99,71,0,302,35,0,0,870,374,272,56,32,0,20,4565,2273,127
0,911,30,0,374,82,0,0,0,192,281,29,0,0,219,34,0,0,0,0,0,1,248,85,0,0,281,0,0,0,0,0,265,0,0,0,0,0,542,0,0,0,49,422,59,0,0,0,0,0,101,0,1,69,2,0,1,5,0,1,0,23,7,1,0,81,9,13,2,0,20,47,3,0,3,0,2,785,2,0,0,181,0,134,0,0,0,0,0,60,0,0,2,1,0,0,0,0,0,0,5,0,0,0,439,342,412,315,0,0,783,636,2,280,623,276,421,203,0,0,1384,717,821,955,596,2,254,3437,3207,587
0,564,3,0,455,20,0,0,0,120,454,45,0,0,208,0,0,0,0,0,1,1,209,0,0,0,154,0,0,0,0,0,358,0,0,2,0,0,0,0,0,0,9,349,20,0,0,0,0,0,41,0,0,48,0,0,0,0,0,2,0,5,0,3,0,29,0,0,0,7,7,24,0,0,0,0,0,720,0,0,1,115,0,51,0,0,0,0,0,67,0,0,0,0,0,2,0,0,0,0,4,0,1,0,365,418,442,446,0,0,404,466,1,326,951,701,376,171,5,0,1222,551,1136,781,738,2,182,2903,2393,457
3,1158,7,0,367,29,0,0,1,178,383,37,0,0,182,71,0,0,0,0,1,0,245,34,0,0,190,0,0,0,0,0,269,5,0,0,0,0,11,0,0,0,17,365,61,0,0,0,0,0,110,0,1,90,9,1,0,0,0,0,0,43,25,67,29,123,26,0,0,52,47,77,5,0,2,0,0,957,0,0,1,179,0,167,0,0,0,0,1,96,0,0,0,0,0,0,0,0,0,0,7,0,0,0,385,336,218,256,0,0,592,885,0,393,998,792,444,301,1,0,1398,828,1188,666,883,1,197,3719,3916,816
0,389,1,0,264,26,0,0,2,148,254,33,0,0,168,0,0,0,0,0,0,1,216,0,0,0,163,0,0,0,0,0,390,0,0,0,0,0,0,0,0,0,20,314,18,0,2,0,0,0,65,0,0,45,0,1,0,0,0,0,1,43,3,0,0,41,0,1,0,0,0,72,0,0,1,0,0,845,1,0,0,229,0,145,1,1,0,0,0,45,0,0,0,0,0,0,0,0,0,0,5,0,1,0,517,574,819,764,0,0,502,596,1,354,660,509,467,110,0,0,1090,500,710,781,661,2,270,3279,2681,349
0,185,16,0,365,43,0,0,1,111,273,47,0,0,274,6,0,0,0,0,0,0,121,0,0,0,211,0,0,0,0,0,386,2,1,0,0,0,1,0,0,0,25,300,17,0,0,0,0,1,52,0,0,41,0,0,0,0,0,0,0,11,6,0,1,71,0,0,0,0,0,44,0,0,0,0,0,695,0,0,0,203,0,25,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,6,0,0,0,326,407,691,504,0,0,462,262,0,177,258,183,394,202,0,0,1049,524,521,497,265,1,174,2969,2098,684
1,406,0,0,518,58,0,0,0,145,239,21,0,0,221,0,0,0,0,0,0,0,97,0,0,0,135,0,0,0,0,0,315,0,0,0,0,0,1,0,0,0,23,380,24,7,0,0,0,0,74,0,0,53,0,0,0,0,0,1,0,21,1,1,0,53,0,0,0,0,0,20,0,0,0,0,0,683,0,0,0,199,0,65,0,1,0,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,529,349,490,329,0,0,474,577,1,335,671,649,503,181,1,0,1096,626,603,586,554,2,129,2910,2515,411
0,1123,17,0,301,19,0,0,1,134,212,22,0,0,198,52,0,4,0,0,0,1,167,0,0,0,215,0,0,0,0,0,445,1,3,0,0,0,21,2,0,0,58,543,83,16,0,0,0,0,98,0,0,110,19,0,0,0,0,0,0,9,19,0,0,195,4,0,0,0,0,48,0,0,1,4,0,1162,0,0,1,223,0,59,0,0,0,0,0,117,0,1,0,0,0,0,0,0,0,0,6,0,0,0,550,238,155,116,0,0,555,383,2,209,392,262,517,45,0,0,1063,648,546,221,83,0,30,3643,3084,387
